"","Water_Year","State","Category","Region","Apportionment_Countable","Consumptive_Use","Consumptive_Use_MAF","Date"
"245",1975,"New Mexico","Power","Upper Basin","Yes",26576.906381,0.026576906381,1975-01-01
"246",1975,"New Mexico","Reservoir Evaporation","Upper Basin","Yes",26286.822,0.026286822,1975-01-01
"247",1975,"Utah","Agriculture","Upper Basin","Yes",502845.150109159,0.502845150109159,1975-01-01
"248",1975,"Utah","Export","Upper Basin","Yes",99480.2123761977,0.0994802123761977,1975-01-01
"249",1975,"Utah","Import","Upper Basin","Yes",-6358,-0.006358,1975-01-01
"250",1975,"Utah","Mineral","Upper Basin","Yes",9842.83999999999,0.00984283999999999,1975-01-01
"251",1975,"Utah","Municipal and Industrial","Upper Basin","Yes",6883.1,0.0068831,1975-01-01
"252",1975,"Utah","Power","Upper Basin","Yes",5845.60633513009,0.00584560633513009,1975-01-01
"253",1975,"Utah","Reservoir Evaporation","Upper Basin","Yes",140083.652152971,0.140083652152971,1975-01-01
"254",1975,"Wyoming","Agriculture","Upper Basin","Yes",265526.299817437,0.265526299817437,1975-01-01
"255",1975,"Wyoming","Export","Upper Basin","Yes",6626.00000000001,0.00662600000000001,1975-01-01
"256",1975,"Wyoming","Import","Upper Basin","Yes",0,0,1975-01-01
"257",1975,"Wyoming","Mineral","Upper Basin","Yes",14388.8,0.0143888,1975-01-01
"258",1975,"Wyoming","Municipal and Industrial","Upper Basin","Yes",3783.1,0.0037831,1975-01-01
"259",1975,"Wyoming","Power","Upper Basin","Yes",12118.3415267512,0.0121183415267512,1975-01-01
"260",1975,"Wyoming","Reservoir Evaporation","Upper Basin","Yes",27784.9282566244,0.0277849282566244,1975-01-01
"261",1976,"Arizona","Agriculture","Lower Basin","Yes",1160675,1.160675,1976-01-01
"262",1976,"Arizona","Agriculture","Upper Basin","Yes",3739.09375858459,0.00373909375858459,1976-01-01
"263",1976,"Arizona","Export","Lower Basin","Yes",0,0,1976-01-01
"264",1976,"Arizona","Export","Upper Basin","Yes",0,0,1976-01-01
"265",1976,"Arizona","Export Within System","Lower Basin","Yes",0,0,1976-01-01
"266",1976,"Arizona","Import","Upper Basin","Yes",0,0,1976-01-01
"267",1976,"Arizona","Mineral","Upper Basin","Yes",0,0,1976-01-01
"268",1976,"Arizona","Municipal and Industrial","Lower Basin","Yes",12534,0.012534,1976-01-01
"269",1976,"Arizona","Municipal and Industrial","Upper Basin","Yes",2900,0.0029,1976-01-01
"270",1976,"Arizona","Power","Lower Basin","Yes",0,0,1976-01-01
"271",1976,"Arizona","Power","Upper Basin","Yes",17977.4794368117,0.0179774794368117,1976-01-01
"272",1976,"Arizona","Reservoir Evaporation","Upper Basin","Yes",3958.16184,0.00395816184,1976-01-01
"273",1976,"California","Agriculture","Lower Basin","Yes",444597,0.444597,1976-01-01
"274",1976,"California","Export","Lower Basin","Yes",4336922,4.336922,1976-01-01
"275",1976,"California","Export Within System","Lower Basin","Yes",0,0,1976-01-01
"276",1976,"California","Municipal and Industrial","Lower Basin","Yes",4305,0.004305,1976-01-01
"277",1976,"California","Power","Lower Basin","Yes",0,0,1976-01-01
"278",1976,"Colorado","Agriculture","Upper Basin","Yes",1205651.19387716,1.20565119387716,1976-01-01
"279",1976,"Colorado","Export","Upper Basin","Yes",633295.882186144,0.633295882186144,1976-01-01
"280",1976,"Colorado","Import","Upper Basin","Yes",-138483.32,-0.13848332,1976-01-01
"281",1976,"Colorado","Mineral","Upper Basin","Yes",18835.2,0.0188352,1976-01-01
"282",1976,"Colorado","Municipal and Industrial","Upper Basin","Yes",14865.26,0.01486526,1976-01-01
"283",1976,"Colorado","Power","Upper Basin","Yes",5913.18,0.00591318,1976-01-01
"284",1976,"Colorado","Reservoir Evaporation","Upper Basin","Yes",48862.5240014882,0.0488625240014882,1976-01-01
"285",1976,"Lake Powell","Reservoir Evaporation","Upper Basin","Yes",563558.1500587,0.5635581500587,1976-01-01
"286",1976,"Lower Basin Reservoirs","Reservoir Evaporation","Lower Basin","No",1045338,1.045338,1976-01-01
"287",1976,"Mexico","Mexico Deliveries","Mexico","Yes",1748916,1.748916,1976-01-01
"288",1976,"Nevada","Agriculture","Lower Basin","Yes",4,4e-06,1976-01-01
"289",1976,"Nevada","Export","Lower Basin","Yes",0,0,1976-01-01
"290",1976,"Nevada","Export Within System","Lower Basin","Yes",0,0,1976-01-01
"291",1976,"Nevada","Municipal and Industrial","Lower Basin","Yes",68577,0.068577,1976-01-01
"292",1976,"Nevada","Power","Lower Basin","Yes",14694,0.014694,1976-01-01
"293",1976,"New Mexico","Agriculture","Upper Basin","Yes",145909.538645763,0.145909538645763,1976-01-01
"294",1976,"New Mexico","Export","Upper Basin","Yes",79546.95,0.07954695,1976-01-01
"295",1976,"New Mexico","Mineral","Upper Basin","Yes",3076,0.003076,1976-01-01
